Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000204586	12	131596273	131598605
ENSG00000112787	12	131657121	131670437
ENSG00000188001	3	190372457	190523964
ENSG00000154518	2	175749237	175754736
ENSG00000214034	12	131559407	131560799
ENSG00000213192	11	118714862	118722579
ENSG00000143434	1	149370791	149385728
ENSG00000213132	3	189379637	189380683
ENSG00000170949	19	58164865	58298499
ENSG00000173456	11	118710447	118713231
ENSG00000145012	3	189413415	190080135
ENSG00000204589	12	131362142	131364988
ENSG00000180257	19	58144446	58157926
ENSG00000182870	12	131246873	131415862
ENSG00000108469	17	71134546	71174864
ENSG00000143458	1	149309704	149359020
ENSG00000221874	19	58122200	58137659
ENSG00000076706	11	118684444	118693050
ENSG00000213190	1	149298503	149307593
ENSG00000115966	2	175645224	175741180
ENSG00000135596	6	109871961	109883883
ENSG00000204325	17	71128391	71134518
ENSG00000198471	3	188898741	188903039
ENSG00000110395	11	118582200	118684066
ENSG00000197622	1	149290073	149298749
ENSG00000184967	12	131194946	131202939
ENSG00000113916	3	188921859	188946169
ENSG00000143443	1	149286840	149307593
ENSG00000188126	17	71103976	71128356
ENSG00000204326	17	71097148	71101765
ENSG00000157005	3	188869399	188870895
ENSG00000136514	3	188568862	188572061
ENSG00000204313	11	118566175	118572689
ENSG00000182986	19	58071237	58157833
ENSG00000204604	19	58033598	58119222
ENSG00000185250	6	109820627	109869067
ENSG00000185163	12	131187095	131194833
ENSG00000135587	6	109868624	109871814
ENSG00000198538	19	57992474	58016697
ENSG00000172367	11	118561405	118566106
ENSG00000163141	1	149275658	149288899
ENSG00000213801	19	58002989	58003487
ENSG00000189190	19	57959283	57981828
ENSG00000073350	17	71033372	71082884
ENSG00000185684	12	131134783	131176838
ENSG00000128656	2	175372337	175578361
ENSG00000143363	1	149247577	149274813
ENSG00000127241	3	188418632	188492446
ENSG00000135535	6	109794416	109810340
ENSG00000160703	11	118544293	118559935
ENSG00000203798	6	109766371	109782869
ENSG00000213020	19	57899284	57924947
ENSG00000196390	19	57814002	57814740
ENSG00000175885	19	57898675	57930109
ENSG00000203799	6	109722199	109743314
ENSG00000182173	17	71024204	71032415
ENSG00000217267	7	152472331	152472606
ENSG00000172350	11	118524960	118538582
ENSG00000177460	6	109664510	109698910
ENSG00000138435	2	175320571	175337427
ENSG00000198491	3	188397572	188408111
ENSG00000163923	3	188321435	188339957
ENSG00000177303	17	71007938	71023222
ENSG00000143409	1	149234173	149245957
ENSG00000175077	3	188397968	188401943
ENSG00000203800	6	109593727	109624998
ENSG00000196285	2	175292774	175293811
ENSG00000172273	11	118497498	118510974
ENSG00000167766	19	57807432	57833456
ENSG00000143412	1	149221178	149234731
ENSG00000183495	12	131000461	131130958
ENSG00000123870	19	57790939	57795216
ENSG00000073849	3	188131210	188279035
ENSG00000183137	6	109523049	109591806
ENSG00000181092	3	188043157	188058944
ENSG00000172375	11	118483303	118493036
ENSG00000198633	19	57555284	57569777
ENSG00000135537	6	108722791	108950942
ENSG00000061936	12	130761588	130850235
ENSG00000143379	1	149165512	149203837
ENSG00000221923	19	57579303	57579923
ENSG00000125457	17	70773908	70778898
ENSG00000187909	12	130080174	130080722
ENSG00000204603	12	130215509	130263428
ENSG00000144306	2	174968713	175001974
ENSG00000160695	11	118443703	118457896
ENSG00000167554	19	57531373	57562178
ENSG00000113889	3	187917814	187944435
ENSG00000187876	2	174908847	174910397
ENSG00000138433	2	174921126	174968689
ENSG00000113905	3	187866492	187878716
ENSG00000112335	6	108639411	108689156
ENSG00000125445	17	70769385	70774049
ENSG00000149428	11	118420110	118433122
ENSG00000198464	19	57492237	57520975
ENSG00000217236	2	174907920	174911466
ENSG00000111452	12	130004790	130189786
ENSG00000081087	6	108469306	108502634
ENSG00000112333	6	108593955	108616704
ENSG00000090512	3	187840843	187853488
ENSG00000125447	17	70744290	70769272
ENSG00000196214	19	57476474	57487788
ENSG00000138430	2	174645421	174821611
ENSG00000125450	17	70713192	70743449
ENSG00000132341	12	129922521	129927316
ENSG00000137700	11	118400276	118406800
ENSG00000143437	1	149048810	149115815
ENSG00000145192	3	187813544	187821799
ENSG00000105568	19	57385046	57422499
ENSG00000196655	11	118394451	118399592
ENSG00000111450	12	129840102	129889764
ENSG00000118181	11	118391635	118394267
ENSG00000143387	1	149035311	149047436
ENSG00000025796	6	108298215	108386086
ENSG00000189159	17	70642938	70662373
ENSG00000196267	19	57349937	57366708
ENSG00000186166	11	118374062	118391665
ENSG00000172845	2	174481505	174538676
ENSG00000204611	19	57309466	57335003
ENSG00000176302	11	118347627	118357211
ENSG00000110375	11	118332236	118334478
ENSG00000218884	17	70643489	70662207
ENSG00000060709	12	129446635	129568363
ENSG00000146285	6	108130060	108252214
ENSG00000197608	19	57259531	57290830
ENSG00000090520	3	187771161	187786282
ENSG00000163131	1	148969175	149004929
ENSG00000125449	17	70617677	70637955
ENSG00000125458	17	70637919	70639472
ENSG00000221897	19	57228173	57243918
ENSG00000113838	3	187746824	187767806
ENSG00000186174	11	118272059	118286823
ENSG00000213139	3	187738926	187744861
ENSG00000160683	11	118259771	118272180
ENSG00000170190	17	70595650	70613841
ENSG00000125207	12	129388567	129422825
ENSG00000144354	2	173927807	173941965
ENSG00000112320	6	107918010	108089195
ENSG00000111432	12	129212985	129216237
ENSG00000142556	19	57208202	57223429
ENSG00000143452	1	148937160	148959976
ENSG00000164494	6	107580456	107887448
ENSG00000214039	12	129084274	129092840
ENSG00000180901	17	70554874	70573574
ENSG00000178409	6	107493079	107543166
ENSG00000151952	12	128122226	128953837
ENSG00000143457	1	148885330	148936257
ENSG00000110367	11	118125623	118167082
ENSG00000130349	6	107456110	107479239
ENSG00000151948	12	127904034	128035462
ENSG00000167863	17	70546550	70554669
ENSG00000167862	17	70520371	70528950
ENSG00000197619	19	57186400	57203275
ENSG00000196094	12	127864550	127864808
ENSG00000171032	19	57159406	57181891
ENSG00000118094	11	118034209	118055591
ENSG00000091436	2	173648688	173840979
ENSG00000176024	19	57122541	57140817
ENSG00000058866	3	187347686	187562717
ENSG00000130348	6	107184146	107222103
ENSG00000109089	17	70495322	70513490
ENSG00000139370	12	127843720	127874494
ENSG00000214043	12	125495380	125523280
ENSG00000198093	19	57084301	57100059
ENSG00000189238	12	125793235	125796735
ENSG00000181234	12	127666660	127758407
ENSG00000171656	3	187246804	187309571
ENSG00000167861	17	70458435	70480424
ENSG00000130347	6	107125596	107184066
ENSG00000106018	7	158513628	158630410
ENSG00000161551	19	57066367	57083009
ENSG00000139364	12	124377115	124709542
ENSG00000143420	1	148840214	148868722
ENSG00000187474	19	56990228	57021254
ENSG00000182938	17	70443492	70457106
ENSG00000171658	3	187168919	187180320
ENSG00000126870	7	158342030	158431643
ENSG00000091428	2	173308771	173625867
ENSG00000183034	17	70431965	70441235
ENSG00000112297	6	107066423	107125028
ENSG00000019144	11	117982423	118033951
ENSG00000143384	1	148813661	148818760
ENSG00000182040	17	70423771	70430946
ENSG00000171049	19	56955995	56965572
ENSG00000172782	17	70385076	70401310
ENSG00000171051	19	56940839	56946962
ENSG00000203804	1	148799302	148801215
ENSG00000163915	3	186913774	186918649
ENSG00000057663	6	106739044	106880388
ENSG00000095139	11	117948321	117978852
ENSG00000136527	3	187110586	187138495
ENSG00000081760	12	124115878	124193824
ENSG00000152256	2	173129025	173172108
ENSG00000105509	19	56908177	56919049
ENSG00000161513	17	70370218	70380751
ENSG00000117868	7	158216450	158315080
ENSG00000182310	19	56888409	56900254
ENSG00000073792	3	186844228	187025521
ENSG00000197865	19	56838420	56841884
ENSG00000118096	11	117920471	117941960
ENSG00000143382	1	148788508	148800037
ENSG00000184992	12	124044147	124076302
ENSG00000161509	17	70349761	70368561
ENSG00000213818	19	56793609	56796696
ENSG00000105501	19	56807156	56825530
ENSG00000150990	12	123997326	124039620
ENSG00000057657	6	106640888	106664507
ENSG00000146918	7	158116764	158190281
ENSG00000091409	2	173000392	173079427
ENSG00000167765	19	56786848	56789442
ENSG00000085377	6	105832199	105957662
ENSG00000163904	3	186786725	186831577
ENSG00000222012	7	157099476	157104218
ENSG00000186921	7	158107731	158108432
ENSG00000143369	1	148747158	148752626
ENSG00000149582	11	117907134	117922072
ENSG00000105497	19	56766343	56784805
ENSG00000109066	17	70284257	70346213
ENSG00000172425	11	117903420	117906950
ENSG00000132429	6	105712476	105734563
ENSG00000203808	6	105692255	105724502
ENSG00000109065	17	70278283	70284065
ENSG00000115844	2	172672413	172675724
ENSG00000167279	11	117813393	117814237
ENSG00000163898	3	186708282	186753063
ENSG00000109062	17	70256363	70277084
ENSG00000160296	19	56686293	56696813
ENSG00000105492	19	56712763	56726922
ENSG00000163900	3	186691495	186699516
ENSG00000143374	1	148726517	148746702
ENSG00000144355	2	172657715	172662651
ENSG00000073803	3	186529396	186683293
ENSG00000213822	19	56674097	56678423
ENSG00000112276	6	105651390	105691236
ENSG00000105366	19	56646064	56653520
ENSG00000155093	7	157024511	158073241
ENSG00000172878	2	172572736	172654009
ENSG00000203809	6	105494745	105495095
ENSG00000163125	1	148603211	148712656
ENSG00000186074	17	70202047	70220703
ENSG00000187772	6	105511616	105637899
ENSG00000113790	3	186391108	186454531
ENSG00000142512	19	56605088	56613263
ENSG00000105993	7	156822461	156902891
ENSG00000150991	12	123962147	123965530
ENSG00000128708	2	172487204	172556845
ENSG00000187068	3	186278532	186353496
ENSG00000085382	6	105282661	105414867
ENSG00000215857	1	148540272	148550873
ENSG00000213990	7	156731244	156749375
ENSG00000117360	1	148560642	148592292
ENSG00000105370	19	56574976	56583009
ENSG00000115840	2	172349127	172459000
ENSG00000172794	17	70178312	70255069
ENSG00000186407	17	70117621	70131474
ENSG00000187145	1	148532909	148547410
ENSG00000118058	11	117812415	117901146
ENSG00000073060	12	123828139	123914346
ENSG00000221879	1	148532893	148548038
ENSG00000182352	17	70092652	70101943
ENSG00000105374	19	56566686	56567772
ENSG00000175913	11	117810622	117810708
ENSG00000160318	19	56562164	56564069
ENSG00000009335	7	156624425	156754823
ENSG00000213992	7	156496361	156501880
ENSG00000167850	17	70048842	70053877
ENSG00000156931	3	186012625	186253096
ENSG00000204345	17	70087099	70100017
ENSG00000178789	17	70028908	70039208
ENSG00000167283	11	117777314	117785769
ENSG00000177383	3	185911380	185912303
ENSG00000159208	1	148521577	148526129
ENSG00000130675	7	156490308	156496108
ENSG00000105379	19	56540222	56561484
ENSG00000223236	NT_113932	50245	50435
ENSG00000118292	1	148507224	148519951
ENSG00000204867	7	156447931	156448444
ENSG00000110344	11	117735512	117775132
ENSG00000146909	7	156435178	156458634
ENSG00000182580	3	185762281	185782889
ENSG00000186806	19	56527636	56535219
ENSG00000160654	11	117720317	117729979
ENSG00000167851	17	69974117	69992524
ENSG00000179213	19	56452776	56464394
ENSG00000164418	6	101953385	102624651
ENSG00000142549	19	56506914	56525914
ENSG00000196498	12	123374914	123586102
ENSG00000117362	1	148502512	148508156
ENSG00000118298	1	148496793	148504085
ENSG00000105383	19	56420147	56435086
ENSG00000077380	2	172252225	172313176
ENSG00000167286	11	117715001	117718669
ENSG00000090539	3	185580555	185590311
ENSG00000213662	12	43743705	43744085
ENSG00000105983	7	156166332	156378663
ENSG00000170412	17	69938647	69958314
ENSG00000178882	12	123339663	123366521
ENSG00000171101	19	56362397	56368508
ENSG00000182648	7	156125459	156126109
ENSG00000071967	2	172087003	172122883
ENSG00000198851	11	117680656	117692096
ENSG00000221981	17	69875240	69880334
ENSG00000204347	17	69864150	69869553
ENSG00000179195	12	123023623	123065918
ENSG00000149573	11	117629347	117640219
ENSG00000090534	3	185572467	185578626
ENSG00000143401	1	148457479	148475084
ENSG00000168995	19	56337370	56348595
ENSG00000112249	6	101062791	101435961
ENSG00000204626	12	122977701	122985484
ENSG00000129450	19	56319977	56325378
ENSG00000119242	12	122986936	123023317
ENSG00000160588	11	117602619	117628245
ENSG00000142544	19	56293588	56299659
ENSG00000163882	3	185563888	185569057
ENSG00000115827	2	171999071	172049806
ENSG00000112246	6	100939606	101019494
ENSG00000196169	17	69833946	69863554
ENSG00000114859	3	185547034	185562085
ENSG00000129437	19	56272564	56279314
ENSG00000023902	1	148387997	148398449
ENSG00000217620	8	103888246	103888783
ENSG00000167759	19	56251275	56260179
ENSG00000160593	11	117569652	117601019
ENSG00000105982	7	156117523	156162585
ENSG00000123600	2	171888543	171998865
ENSG00000152034	6	100474507	100548820
ENSG00000112238	6	100161327	100170175
ENSG00000171595	17	69782007	69822617
ENSG00000175182	3	185536415	185546759
ENSG00000204876	7	155448090	155451798
ENSG00000136631	1	148305966	148384129
ENSG00000214156	3	185538047	185541942
ENSG00000149575	11	117538729	117552546
ENSG00000197653	12	122812995	122986218
ENSG00000177098	11	117509302	117528747
ENSG00000198586	2	171556816	171725289
ENSG00000186474	19	56224160	56229960
ENSG00000141540	17	69721291	69769750
ENSG00000163113	1	148178855	148249310
ENSG00000185344	12	122762818	122810394
ENSG00000164690	7	155288319	155297728
ENSG00000112237	6	100096985	100123411
ENSG00000172809	17	69711390	69717603
ENSG00000115806	2	171493957	171531878
ENSG00000167757	19	56217301	56223102
ENSG00000177338	17	69258158	69336254
ENSG00000168778	12	122721615	122758901
ENSG00000137648	11	117452937	117495764
ENSG00000014914	1	148167168	148176876
ENSG00000123552	6	99986911	100070029
ENSG00000198230	11	117401294	117405788
ENSG00000184863	7	155129906	155266940
ENSG00000110324	11	117362319	117377404
ENSG00000216895	7	155096686	155129856
ENSG00000111358	12	122684360	122712140
ENSG00000146910	7	154959662	155019318
ENSG00000129451	19	56207813	56215243
ENSG00000213702	5	96397681	96398088
ENSG00000164778	7	154943585	154950279
ENSG00000132424	6	99955137	99979881
ENSG00000213022	19	56195618	56204649
ENSG00000218672	7	154867532	154881812
ENSG00000111361	12	122671523	122684200
ENSG00000143368	1	148161835	148166326
ENSG00000069188	17	68842118	69015332
ENSG00000204960	7	154842441	154853390
ENSG00000186480	7	154720476	154732877
ENSG00000179604	17	68791359	68819738
ENSG00000132423	6	99923997	99948801
ENSG00000128683	2	171381446	171425900
ENSG00000137747	11	117276570	117305325
ENSG00000146267	6	99834073	99904014
ENSG00000159164	1	148141500	148156058
ENSG00000204334	2	171335438	171363727
ENSG00000217825	7	154619330	154621079
ENSG00000187959	17	68757527	68770086
ENSG00000128692	2	171316467	171317808
ENSG00000220575	7	154489710	154494200
ENSG00000157219	7	154492967	154508392
ENSG00000141219	17	68740371	68756686
ENSG00000111364	12	122652625	122671433
ENSG00000129455	19	56191076	56196770
ENSG00000184270	1	148125698	148126090
ENSG00000178096	1	148125110	148138968
ENSG00000137726	11	117212903	117252577
ENSG00000222033	2	171277207	171279323
ENSG00000204335	2	171280107	171282743
ENSG00000086598	12	122635029	122648634
ENSG00000213981	2	171214273	171260130
ENSG00000112234	6	99428055	99502570
ENSG00000169035	19	56171541	56179106
ENSG00000184678	1	148080395	148124826
ENSG00000188026	12	122522316	122584457
ENSG00000133193	17	68715087	68740105
ENSG00000184260	1	148125149	148125585
ENSG00000137731	11	117196000	117204017
ENSG00000114867	3	185515050	185535839
ENSG00000203852	1	148090805	148092460
ENSG00000182217	1	148092231	148099338
ENSG00000166685	17	68700768	68716241
ENSG00000184486	6	99389301	99393381
ENSG00000214106	7	154351160	154368041
ENSG00000203812	1	148089267	148089815
ENSG00000150977	12	122465889	122487217
ENSG00000184209	12	122508604	122516894
ENSG00000157212	7	154366330	154425727
ENSG00000203811	1	148077734	148079389
ENSG00000183558	1	148080129	148081102
ENSG00000180616	17	68672755	68679655
ENSG00000071909	2	170742901	171219237
ENSG00000146263	6	97696758	97837773
ENSG00000183955	12	122434273	122459858
ENSG00000167755	19	56153700	56164741
ENSG00000186231	6	97479217	97695351
ENSG00000133195	17	68153684	68600427
ENSG00000177103	11	116803699	117173184
ENSG00000213293	19	12231941	12232352
ENSG00000175166	3	185499716	185509534
ENSG00000167754	19	56138373	56148156
ENSG00000125398	17	67628756	67634147
ENSG00000130226	7	153215115	154316928
ENSG00000144357	2	170392214	170648887
ENSG00000179061	2	25446322	25446689
ENSG00000163888	3	185459697	185461945
ENSG00000139697	12	122346408	122400941
ENSG00000123700	17	65677271	65687755
ENSG00000183941	1	148070856	148077963
ENSG00000218389	17	67546359	67546975
ENSG00000110274	11	116703781	116789194
ENSG00000123545	6	97445612	97452476
ENSG00000203814	1	148049907	148050538
ENSG00000167749	19	56101420	56105806
ENSG00000183598	1	148050063	148051860
ENSG00000111328	12	122311495	122322640
ENSG00000138382	2	170374837	170389681
ENSG00000197588	19	56077166	56090336
ENSG00000112218	6	97352609	97392074
ENSG00000112214	6	97117156	97171233
ENSG00000153822	17	65583021	65643339
ENSG00000130921	12	122283416	122308459
ENSG00000167751	19	56068501	56075634
ENSG00000203817	1	147717079	147726172
ENSG00000203815	1	147942694	147943203
ENSG00000133627	7	152087784	152183396
ENSG00000150337	1	148020912	148030695
ENSG00000203819	1	147665423	147665626
ENSG00000145194	3	185450139	185493513
ENSG00000203818	1	147665501	147667166
ENSG00000138385	2	170363627	170376820
ENSG00000196584	7	151974522	152004183
ENSG00000197199	2	170311842	170314925
ENSG00000020219	7	151773257	151775287
ENSG00000051825	12	122203033	122272394
ENSG00000108984	17	64922433	65050046
ENSG00000203820	1	147635968	147644763
ENSG00000014123	6	97076438	97109870
ENSG00000143429	1	147194940	147218213
ENSG00000213160	2	170259247	170316644
ENSG00000172461	6	96570613	96760477
ENSG00000214160	3	185442811	185449440
ENSG00000185321	1	147169586	147170211
ENSG00000186318	11	116661627	116692182
ENSG00000145198	3	185435014	185442810
ENSG00000144362	2	170259221	170266462
ENSG00000148944	7	151930237	151930912
ENSG00000154479	2	170210181	170259177
ENSG00000214162	3	185431011	185441034
ENSG00000167257	11	116608614	116661602
ENSG00000172469	6	96132134	96164047
ENSG00000159247	9	140189246	140191570
ENSG00000142515	19	56049983	56055832
ENSG00000090975	12	122033980	122160928
ENSG00000138398	2	170149096	170202491
ENSG00000203987	9	139882198	139906843
ENSG00000154265	17	64754387	64834885
ENSG00000203827	1	147006173	147024935
ENSG00000167748	19	56014216	56018855
ENSG00000154263	17	64655743	64752551
ENSG00000174562	19	56020357	56026591
ENSG00000160613	11	116581020	116608021
ENSG00000135333	6	94007864	94185993
ENSG00000161204	3	185386678	185394487
ENSG00000138399	2	170094515	170138568
ENSG00000180279	19	56012951	56013943
ENSG00000182196	12	122030833	122033413
ENSG00000149591	11	116575250	116580717
ENSG00000167747	19	55992774	55999786
ENSG00000055609	7	151462947	151764023
ENSG00000154474	2	170074458	170091018
ENSG00000142513	19	55985484	55990293
ENSG00000111325	12	122025242	122030541
ENSG00000163093	2	170044239	170071410
ENSG00000161203	3	185375328	185384572
ENSG00000178234	7	151407293	151450178
ENSG00000219481	1	146827614	146862781
ENSG00000142511	19	55965533	55966801
ENSG00000154262	17	64586442	64649610
ENSG00000105472	19	55918417	55920791
ENSG00000135341	6	91282074	91353628
ENSG00000204646	19	55953527	55955023
ENSG00000106648	7	151284444	151347946
ENSG00000148408	9	139892062	140138897
ENSG00000149577	11	116554669	116573371
ENSG00000161202	3	185355978	185374092
ENSG00000161681	19	55856896	55914519
ENSG00000214356	9	139798346	139802679
ENSG00000135355	6	90660909	90662560
ENSG00000168092	11	116520270	116546969
ENSG00000112182	6	90692969	91063182
ENSG00000213023	19	55817048	55863466
ENSG00000205955	3	185316730	185318380
ENSG00000150967	12	121979494	122025705
ENSG00000145191	3	185335504	185345793
ENSG00000139722	12	121915835	121946665
ENSG00000131409	19	55711961	55763114
ENSG00000081479	2	169691865	169927368
ENSG00000118412	6	90596379	90637843
ENSG00000106617	7	150884136	151205249
ENSG00000186038	3	185300661	185307476
ENSG00000161677	19	55701067	55706231
ENSG00000178084	3	185253529	185261153
ENSG00000154258	17	64482369	64568731
ENSG00000204653	19	55706673	55709759
ENSG00000186090	3	185232026	185239850
ENSG00000130787	12	121885992	121913460
ENSG00000181090	9	139711440	139850397
ENSG00000106615	7	150794032	150847943
ENSG00000073737	2	169629545	169660923
ENSG00000141338	17	64375028	64463128
ENSG00000160584	11	116219328	116474347
ENSG00000161671	19	55671548	55678419
ENSG00000127377	7	150757990	150768032
ENSG00000203993	9	139629606	139633086
ENSG00000130783	12	121825026	121877884
ENSG00000142530	19	55661859	55671815
ENSG00000187260	7	150709140	150738057
ENSG00000139726	12	121804202	121821906
ENSG00000165724	9	139596352	139604763
ENSG00000203832	1	146616873	146713675
ENSG00000197070	9	139619917	139629630
ENSG00000073734	2	169487694	169596079
ENSG00000112159	6	90409952	90586163
ENSG00000013374	7	150669791	150706463
ENSG00000118137	11	116211677	116213571
ENSG00000196917	12	121670777	121781343
ENSG00000152254	2	169465996	169474755
ENSG00000086967	19	55627972	55662502
ENSG00000108950	17	64044607	64109125
ENSG00000182782	12	121752692	121753783
ENSG00000152253	2	169435648	169455190
ENSG00000148399	9	139569182	139593208
ENSG00000182154	9	139566165	139566827
ENSG00000142539	19	55614010	55626117
ENSG00000114770	3	185120420	185218421
ENSG00000122497	1	146470284	146492485
ENSG00000110245	11	116205834	116208998
ENSG00000083099	6	90398666	90405195
ENSG00000110244	11	116196628	116199221
ENSG00000198161	1	146418535	146422374
ENSG00000203834	1	146098591	146099052
ENSG00000163072	2	169367353	169429810
ENSG00000215858	1	146354049	146364417
ENSG00000184445	12	121577762	121675251
ENSG00000108946	17	64019705	64040503
ENSG00000082014	7	150566995	150605164
ENSG00000110243	11	116165299	116167794
ENSG00000203835	1	146085035	146088691
ENSG00000212778	3	185005880	185006380
ENSG00000180834	3	185016364	185026059
ENSG00000062822	19	55579420	55613082
ENSG00000135299	6	90199616	90400123
ENSG00000175193	3	185029870	185085387
ENSG00000070540	17	63929018	63965248
ENSG00000033100	7	150560518	150566838
ENSG00000141337	17	63814772	63930467
ENSG00000172292	2	169021005	169339398
ENSG00000109917	11	116154487	116163949
ENSG00000025039	6	90131436	90178714
ENSG00000111011	12	121555226	121577499
ENSG00000198833	6	90093066	90119338
ENSG00000137656	11	116124096	116148914
ENSG00000130653	9	139474225	139564807
ENSG00000131408	19	55571497	55578078
ENSG00000163872	3	184898300	185013102
ENSG00000182985	11	114552404	114880322
ENSG00000033050	7	150535856	150555250
ENSG00000198648	2	168518777	168812365
ENSG00000108932	17	63775933	63799002
ENSG00000137634	11	113946524	113971694
ENSG00000033030	12	121523390	121551471
ENSG00000111886	6	90023958	90081737
ENSG00000204361	11	114054467	114083495
ENSG00000095110	11	113897648	113935790
ENSG00000146276	6	89944691	89983779
ENSG00000183016	7	150518899	150533473
ENSG00000172318	2	168383428	168435612
ENSG00000131400	19	55553547	55560743
ENSG00000131401	19	55528871	55539830
ENSG00000146281	6	89912488	89932003
ENSG00000114796	3	184836105	184884996
ENSG00000154548	6	89862398	89884519
ENSG00000203836	1	146040948	146076705
ENSG00000076043	11	113815387	113826208
ENSG00000146926	7	150503718	150515742
ENSG00000146278	6	89847189	89851598
ENSG00000196704	17	63755740	63776634
ENSG00000131398	19	55507006	55524446
ENSG00000164900	7	150476609	150495800
ENSG00000076053	11	113776586	113784843
ENSG00000203863	6	89730965	89733404
ENSG00000203766	10	135347172	135347681
ENSG00000172578	3	184688013	184756193
ENSG00000183600	17	63706572	63708031
ENSG00000204383	17	63677569	63677958
ENSG00000180425	11	113767380	113776349
ENSG00000215859	1	145932718	145950955
ENSG00000154251	17	63633345	63635979
ENSG00000203767	10	135343873	135344382
ENSG00000166741	11	113671745	113688448
ENSG00000203769	10	135337264	135337773
ENSG00000203768	10	135340563	135341072
ENSG00000176597	3	184453726	184473872
ENSG00000165802	9	139461843	139473592
ENSG00000163092	2	167453243	167824509
ENSG00000203770	10	135333955	135334464
ENSG00000130779	12	121321934	121473069
ENSG00000133612	7	150414759	150472456
ENSG00000182481	17	63462310	63473431
ENSG00000148828	10	135288593	135290289
ENSG00000203771	10	135330645	135331154
ENSG00000186665	17	63417680	63420130
ENSG00000111880	6	89376708	89730067
ENSG00000139719	12	121282049	121317021
ENSG00000188092	1	145867130	145932371
ENSG00000136546	2	166968329	167051724
ENSG00000053524	3	184378525	184628549
ENSG00000118432	6	88906302	88932385
ENSG00000121634	1	145841560	145848017
ENSG00000171772	10	135217395	135232866
ENSG00000188833	9	139448637	139455722
ENSG00000109906	11	113435525	113626605
ENSG00000118434	6	88814226	88833269
ENSG00000164897	7	150409106	150411503
ENSG00000078081	3	184322697	184363361
ENSG00000135334	6	88441696	88468645
ENSG00000143140	1	145694956	145712108
ENSG00000188747	9	139437668	139448678
ENSG00000184047	12	121258163	121276552
ENSG00000105357	19	55398697	55505611
ENSG00000214358	9	139406076	139437435
ENSG00000166736	11	113351040	113366241
ENSG00000176383	12	121254043	121258037
ENSG00000169432	2	166759941	166940749
ENSG00000158113	12	121235017	121253970
ENSG00000161652	19	55347617	55358350
ENSG00000207642	4	333946	334041
ENSG00000162836	1	145585794	145608988
ENSG00000213861	19	55253785	55255431
ENSG00000204671	12	121222530	121224699
ENSG00000149305	11	113280729	113322492
ENSG00000204666	19	55245658	55261862
ENSG00000135336	6	88356558	88433888
ENSG00000116128	1	145479806	145564641
ENSG00000078070	3	184215702	184300059
ENSG00000130649	10	135190857	135224714
ENSG00000043093	3	184143269	184181020
ENSG00000142528	19	55221024	55243841
ENSG00000214279	10	135121772	135131941
ENSG00000164896	7	150404641	150408884
ENSG00000148805	10	135117422	135131941
ENSG00000187609	9	139321169	139437535
ENSG00000203772	10	135084161	135088111
ENSG00000175727	12	121001035	121194916
ENSG00000048028	11	113173808	113251466
ENSG00000171634	17	63252242	63410956
ENSG00000198435	9	139315857	139316201
ENSG00000144285	2	166553916	166638395
ENSG00000198113	9	139292099	139296913
ENSG00000110987	12	120944244	120984333
ENSG00000148824	10	135057611	135084164
ENSG00000058063	3	183993985	184122113
ENSG00000086827	11	113109123	113149635
ENSG00000146282	6	88280822	88356424
ENSG00000166682	11	113065275	113082305
ENSG00000130935	17	63144521	63170772
ENSG00000164889	7	150389271	150404542
ENSG00000105053	19	55171538	55220617
ENSG00000123607	2	166438700	166524256
ENSG00000158023	12	120840863	120926211
ENSG00000131778	1	145180915	145234065
ENSG00000181449	3	182912416	182914915
ENSG00000188986	9	139269580	139287819
ENSG00000154217	17	62804386	63120107
ENSG00000197768	9	139265534	139267736
ENSG00000161643	19	55164742	55170881
ENSG00000110801	12	120811021	120840153
ENSG00000161640	19	55144064	55156241
ENSG00000205981	3	182184200	182190224
ENSG00000197170	17	62766381	62793183
ENSG00000115339	2	166312559	166359049
ENSG00000188163	9	139257858	139262043
ENSG00000164414	6	88239414	88278766
ENSG00000131781	1	145124462	145163569
ENSG00000149295	11	112785528	112851103
ENSG00000164885	7	150381832	150385929
ENSG00000148832	10	135042685	135055188
ENSG00000178662	2	166034454	166245435
ENSG00000158104	12	120761818	120781152
ENSG00000169136	19	55124272	55129003
ENSG00000139718	12	120741760	120754944
ENSG00000131791	1	145093314	145110753
ENSG00000213204	6	88174440	88230901
ENSG00000170209	11	112763723	112776199
ENSG00000212694	12	120718106	120718831
ENSG00000203871	6	88163559	88170271
ENSG00000187820	1	144927052	144933305
ENSG00000198265	17	62497017	62671781
ENSG00000203839	1	144801492	144801953
ENSG00000188229	9	139255532	139257980
ENSG00000114416	3	182113146	182177642
ENSG00000221803	19	52950922	52951031
ENSG00000203872	6	88111319	88131900
ENSG00000198569	9	139245206	139250827
ENSG00000139725	12	120700045	120715977
ENSG00000127884	10	135025980	135036898
ENSG00000213199	7	150376780	150380773
ENSG00000108878	17	62471168	62483375
ENSG00000145075	3	181814491	181938356
ENSG00000184314	12	120699393	120702935
ENSG00000149292	11	112690461	112759476
ENSG00000198658	1	144787932	144791588
ENSG00000214072	12	120691152	120691865
ENSG00000148803	10	135018654	135021519
